priceDate,open,low,high,close,volume,Revenues,NetIncomeLoss,EarningsPerShareBasic,EarningsPerShareDiluted,OperatingIncomeLoss,CostOfRevenue,GrossProfit,CashAndCashEquivalentsAtCarryingValue,LongTermDebt,DebtCurrent,Assets,LiabilitiesCurrent,InventoryNet,ResearchAndDevelopmentExpense,weather_code,temperature_2m_max,temperature_2m_min
1657490400.0,252.103,233.627,253.063,234.343,99509220.0000001,23350000000,1853000000,0.58,0.53,1764000000,19172000000,4178000000,15932000000,2152000000,1552000000,93941000000,26640000000,13721000000,1161000000,0.0,28.567501,18.2675
1657231200.0,242.333,241.161,254.98,250.763,101854086.0000001,23350000000,1853000000,0.58,0.53,1764000000,19172000000,4178000000,15932000000,2152000000,1552000000,93941000000,26640000000,13721000000,1161000000,51.0,29.6175,18.8675
1657144800.0,233.92,232.21,245.362,244.543,81930690.00000009,23350000000,1853000000,0.58,0.53,1764000000,19172000000,4178000000,15932000000,2152000000,1552000000,93941000000,26640000000,13721000000,1161000000,3.0,28.167501,21.067501
1657058400.0,230.78,227.187,234.563,231.733,71853630.00000007,23350000000,1853000000,0.58,0.53,1764000000,19172000000,4178000000,15932000000,2152000000,1552000000,93941000000,26640000000,13721000000,1161000000,51.0,32.7175,22.0175
1656972000.0,223.0,216.167,233.147,233.067,84779112.00000009,23350000000,1853000000,0.58,0.53,1764000000,19172000000,4178000000,15932000000,2152000000,1552000000,93941000000,26640000000,13721000000,1161000000,51.0,30.5175,20.9675
1656626400.0,227.0,222.12,230.23,227.263,74460444.00000007,23350000000,1853000000,0.58,0.53,1764000000,19172000000,4178000000,15932000000,2152000000,1552000000,93941000000,26640000000,13721000000,1161000000,51.0,32.517498,21.1175
1656540000.0,224.51,218.863,229.457,224.473,94600452.0000001,23350000000,1853000000,0.58,0.53,1764000000,19172000000,4178000000,15932000000,2152000000,1552000000,93941000000,26640000000,13721000000,1161000000,1.0,32.567497,18.2175
1656453600.0,230.5,222.273,231.173,228.49,82897254.00000009,23350000000,1853000000,0.58,0.53,1764000000,19172000000,4178000000,15932000000,2152000000,1552000000,93941000000,26640000000,13721000000,1161000000,1.0,29.7675,18.4675
1656367200.0,244.483,232.343,249.97,232.663,90666501.00000007,23350000000,1853000000,0.58,0.53,1764000000,19172000000,4178000000,15932000000,2152000000,1552000000,93941000000,26640000000,13721000000,1161000000,3.0,28.6175,19.167501
1656280800.0,249.367,242.566,252.07,244.92,89178312.00000009,23350000000,1853000000,0.58,0.53,1764000000,19172000000,4178000000,15932000000,2152000000,1552000000,93941000000,26640000000,13721000000,1161000000,65.0,27.567501,21.067501
1656021600.0,237.468,236.087,246.067,245.707,95770695.0000001,23350000000,1853000000,0.58,0.53,1764000000,19172000000,4178000000,15932000000,2152000000,1552000000,93941000000,26640000000,13721000000,1161000000,51.0,25.917501,15.867499
1655935200.0,237.905,228.637,239.317,235.07,104202678.0000001,23350000000,1853000000,0.58,0.53,1764000000,19172000000,4178000000,15932000000,2152000000,1552000000,93941000000,26640000000,13721000000,1161000000,51.0,22.7675,15.8175
1655848800.0,234.503,233.827,246.833,236.087,101527260.0000001,23350000000,1853000000,0.58,0.53,1764000000,19172000000,4178000000,15932000000,2152000000,1552000000,93941000000,26640000000,13721000000,1161000000,55.0,20.7175,16.9675
1655762400.0,224.603,224.333,243.577,237.037,122792955.00000012,23350000000,1853000000,0.58,0.53,1764000000,19172000000,4178000000,15932000000,2152000000,1552000000,93941000000,26640000000,13721000000,1161000000,53.0,27.4675,16.2175
1655416800.0,213.433,213.197,220.969,216.76,92641770.0000001,23350000000,1853000000,0.58,0.53,1764000000,19172000000,4178000000,15932000000,2152000000,1552000000,93941000000,26640000000,13721000000,1161000000,3.0,33.767498,19.5175
1655330400.0,222.737,208.693,225.167,213.1,107390700.00000012,23350000000,1853000000,0.58,0.53,1764000000,19172000000,4178000000,15932000000,2152000000,1552000000,93941000000,26640000000,13721000000,1161000000,63.0,22.8675,18.1175
1655244000.0,220.917,218.15,235.663,233.0,119131935.00000012,23350000000,1853000000,0.58,0.53,1764000000,19172000000,4178000000,15932000000,2152000000,1552000000,93941000000,26640000000,13721000000,1161000000,2.0,27.7175,18.3675
1655157600.0,218.287,211.737,226.33,220.89,97988796.0000001,23350000000,1853000000,0.58,0.53,1764000000,19172000000,4178000000,15932000000,2152000000,1552000000,93941000000,26640000000,13721000000,1161000000,3.0,28.417501,18.7675
1655071200.0,223.167,214.683,226.633,215.737,102767262.0000001,23350000000,1853000000,0.58,0.53,1764000000,19172000000,4178000000,15932000000,2152000000,1552000000,93941000000,26640000000,13721000000,1161000000,61.0,28.0175,17.7675
1654812000.0,235.157,227.913,239.5,232.23,98090898.0000001,23350000000,1853000000,0.58,0.53,1764000000,19172000000,4178000000,15932000000,2152000000,1552000000,93941000000,26640000000,13721000000,1161000000,3.0,27.3675,15.0675
1654725600.0,249.34,239.327,255.547,239.707,96491307.0000001,23350000000,1853000000,0.58,0.53,1764000000,19172000000,4178000000,15932000000,2152000000,1552000000,93941000000,26640000000,13721000000,1161000000,63.0,28.7175,18.0175
1654639200.0,240.087,239.177,249.963,241.867,76210620.00000007,23350000000,1853000000,0.58,0.53,1764000000,19172000000,4178000000,15932000000,2152000000,1552000000,93941000000,26640000000,13721000000,1161000000,51.0,29.417501,19.3675
