close,fclose,fhigh,flow,fopen,fvolume,high,low,open,priceDate,symbol,uclose,uhigh,ulow,uopen,uvolume,volume,id,key,subkey,date,updated
266.05,266.05,266.613,254.003,259.697,78236694.00000009,266.613,254.003,259.697,2021-02-17,TSLA,798.15,799.84,762.01,779.09,26078898,78236694.00000009,HISTORICAL_PRICES,TSLA,,1613520000000,1661544968000
265.407,265.407,273.667,264.147,272.667,59406972.00000006,273.667,264.147,272.667,2021-02-16,TSLA,796.22,821,792.44,818,19802324,59406972.00000006,HISTORICAL_PRICES,TSLA,,1613433600000,1661544967000
272.04,272.04,272.443,261.777,267.087,71304939.00000007,272.443,261.777,267.087,2021-02-12,TSLA,816.12,817.33,785.3306,801.26,23768313,71304939.00000007,HISTORICAL_PRICES,TSLA,,1613088000000,1661544964000
270.553,270.553,276.627,267.242,270.813,64868259.00000007,276.627,267.242,270.813,2021-02-11,TSLA,811.66,829.8799,801.725,812.44,21622753,64868259.00000007,HISTORICAL_PRICES,TSLA,,1613001600000,1661544971000
268.273,268.273,281.607,266.673,281.212,108648270.00000012,281.607,266.673,281.212,2021-02-10,TSLA,804.82,844.82,800.02,843.635,36216090,108648270.00000012,HISTORICAL_PRICES,TSLA,,1612915200000,1661544969000
283.153,283.153,286.6,280.583,285.04,45472953.000000045,286.6,280.583,285.04,2021-02-09,TSLA,849.46,859.8,841.75,855.12,15157651,45472953.000000045,HISTORICAL_PRICES,TSLA,,1612828800000,1661544966000
287.807,287.807,292.59,284.917,289.89,60485157.00000007,292.59,284.917,289.89,2021-02-08,TSLA,863.42,877.77,854.75,869.67,20161719,60485157.00000007,HISTORICAL_PRICES,TSLA,,1612742400000,1661544972000
284.077,284.077,288.257,279.657,281.667,55699911.00000006,288.257,279.657,281.667,2021-02-05,TSLA,852.23,864.77,838.97,845,18566637,55699911.00000006,HISTORICAL_PRICES,TSLA,,1612483200000,1661544969000
283.33,283.33,285.5,277.807,285,47437983.00000005,285.5,277.807,285,2021-02-04,TSLA,849.99,856.5,833.42,855,15812661,47437983.00000005,HISTORICAL_PRICES,TSLA,,1612396800000,1661544971000
284.897,284.897,292.693,284.355,292.34,55030530.00000006,292.693,284.355,292.34,2021-02-03,TSLA,854.69,878.08,853.0646,877.02,18343510,55030530.00000006,HISTORICAL_PRICES,TSLA,,1612310400000,1661544964000
290.93,290.93,293.5,280.734,281.56,73038639.00000007,293.5,280.734,281.56,2021-02-02,TSLA,872.79,880.5,842.2006,844.68,24346213,73038639.00000007,HISTORICAL_PRICES,TSLA,,1612224000000,1661544963000
279.937,279.937,280.667,265.187,271.43,76174155.00000007,280.667,265.187,271.43,2021-02-01,TSLA,839.81,842,795.5601,814.29,25391385,76174155.00000007,HISTORICAL_PRICES,TSLA,,1612137600000,1661544971000
264.51,264.51,280.803,260.033,276.667,104972262.0000001,280.803,260.033,276.667,2021-01-29,TSLA,793.53,842.41,780.1,830.0003,34990754,104972262.0000001,HISTORICAL_PRICES,TSLA,,1611878400000,1661544965000
278.477,278.477,282.667,267,273.333,79134144.00000009,282.667,267,273.333,2021-01-28,TSLA,835.43,848,801,820,26378048,79134144.00000009,HISTORICAL_PRICES,TSLA,,1611792000000,1661544965000
288.053,288.053,297.167,286.22,290.117,82001865.00000009,297.167,286.22,290.117,2021-01-27,TSLA,864.16,891.5,858.66,870.35,27333955,82001865.00000009,HISTORICAL_PRICES,TSLA,,1611705600000,1661544962000
294.363,294.363,298.633,290.533,297.127,69394809.00000007,298.633,290.533,297.127,2021-01-26,TSLA,883.09,895.9,871.6,891.38,23131603,69394809.00000007,HISTORICAL_PRICES,TSLA,,1611619200000,1661544963000
