priceDate,open,low,high,close,volume
1671062400000000000,153.44,153.28,160.9299,157.67,122334459.0
1670976000000000000,159.25,155.31,161.62,156.8,140682338.0
1670889600000000000,174.87,156.91,175.05,160.95,175862722.0
1670803200000000000,176.1,167.52,177.37,167.82,109794471.0
1670544000000000000,173.84,173.36,182.5,179.05,104872336.0
1670457600000000000,172.2,169.06,175.2,173.44,97624491.0
1670371200000000000,175.03,172.218,179.38,174.04,84213284.0
1670284800000000000,181.215,175.33,183.65,179.82,92150823.0
1670198400000000000,189.44,180.55,191.27,182.45,93122667.0
1669939200000000000,191.78,191.11,196.25,194.86,73645922.0
1669852800000000000,197.08,191.8,198.92,194.7,80046213.0
1669766400000000000,182.43,180.6301,194.76,194.7,109186404.0
1669680000000000000,184.99,178.75,186.38,180.83,83357111.0
1669593600000000000,179.96,179.0,188.5,182.92,93038148.0
1669334400000000000,185.06,180.63,185.2,182.86,50672739.0
1669161600000000000,173.57,172.5,183.62,183.2,109536709.0
1669075200000000000,168.63,166.185,170.92,169.91,78452327.0
1668988800000000000,175.85,167.54,176.77,167.87,92882712.0
1668729600000000000,185.05,176.55,185.19,180.19,76048866.0
1668643200000000000,183.96,180.9,186.16,183.17,64335970.0
1668556800000000000,191.51,185.66,192.57,186.92,66567599.0
1668470400000000000,195.88,192.06,200.8237,194.42,91293785.0
1668384000000000000,192.77,186.34,195.73,190.95,92226649.0
1668124800000000000,186.0,182.59,196.52,195.97,114403575.0
1668038400000000000,189.9,180.03,191.0,190.72,132703015.0
1667952000000000000,190.775,177.12,195.89,177.59,127062659.0
1667865600000000000,194.02,186.75,195.2,191.3,128803404.0
1667779200000000000,208.65,196.66,208.9,197.08,93916520.0
1667520000000000000,222.6,203.08,223.8,207.47,98622212.0
1667433600000000000,211.36,210.14,221.2,215.31,56538848.0
1667347200000000000,226.04,214.82,227.8699,214.98,63070293.0
1667260800000000000,234.05,227.28,237.3951,227.82,62688822.0
1667174400000000000,226.19,221.94,229.85,227.54,61554341.0
1666915200000000000,225.4,216.35,228.86,228.52,69152386.0
1666828800000000000,229.77,222.85,233.81,225.09,61638824.0
