date,weather_code,temperature_2m_max,temperature_2m_min
2019-06-26 05:00:00,3.0,30.2175,20.5175
2019-06-27 05:00:00,1.0,30.917501,19.8675
2019-06-28 05:00:00,51.0,30.417501,19.3675
2019-06-29 05:00:00,63.0,30.667501,21.6175
2019-06-30 05:00:00,53.0,27.6175,20.317501
2019-07-01 05:00:00,2.0,30.317501,17.167501
2019-07-02 05:00:00,51.0,30.917501,18.7675
2019-07-03 05:00:00,51.0,29.417501,22.817501
2019-07-04 05:00:00,3.0,30.7175,21.0175
2019-07-05 05:00:00,51.0,27.7175,20.1175
2019-07-06 05:00:00,61.0,30.567501,24.1175
2019-07-07 05:00:00,53.0,27.7675,22.3675
2019-07-08 05:00:00,61.0,24.317501,20.817501
2019-07-09 05:00:00,1.0,31.4675,19.667501
2019-07-10 05:00:00,3.0,31.567501,21.2175
2019-07-11 05:00:00,63.0,28.9675,22.5175
2019-07-12 05:00:00,55.0,30.817501,22.1175
2019-07-13 05:00:00,0.0,30.5175,19.9675
2019-07-14 05:00:00,1.0,31.817501,21.7675
2019-07-15 05:00:00,1.0,31.2675,19.1175
2019-07-16 05:00:00,3.0,32.8675,21.067501
2019-07-17 05:00:00,63.0,34.017498,24.1175
2019-07-18 05:00:00,61.0,28.1175,21.7175
2019-07-19 05:00:00,3.0,32.2175,21.7175
2019-07-20 05:00:00,51.0,35.1675,25.667501
2019-07-21 05:00:00,51.0,35.7175,25.6175
2019-07-22 05:00:00,63.0,31.2675,23.567501
2019-07-23 05:00:00,63.0,24.2175,20.4675
2019-07-24 05:00:00,53.0,26.4675,20.417501
2019-07-25 05:00:00,51.0,28.567501,20.667501
2019-07-26 05:00:00,1.0,28.567501,19.3675
2019-07-27 05:00:00,53.0,27.8675,21.417501
2019-07-28 05:00:00,1.0,31.3675,21.8675
2019-07-29 05:00:00,61.0,32.2175,21.667501
2019-07-30 05:00:00,1.0,32.267498,23.7175
2019-07-31 05:00:00,63.0,30.667501,23.2175
2019-08-01 05:00:00,1.0,30.2175,22.5175
2019-08-02 05:00:00,51.0,28.9675,23.0175
2019-08-03 05:00:00,61.0,28.4675,21.567501
2019-08-04 05:00:00,61.0,31.567501,21.4675
2019-08-05 05:00:00,1.0,28.2175,21.0175
2019-08-06 05:00:00,51.0,27.2675,21.917501
2019-08-07 05:00:00,63.0,27.8675,21.6175
2019-08-08 05:00:00,51.0,29.317501,19.3675
2019-08-09 05:00:00,61.0,28.817501,20.317501
2019-08-10 05:00:00,1.0,27.9675,18.317501
2019-08-11 05:00:00,2.0,28.6175,16.167501
2019-08-12 05:00:00,2.0,31.167501,17.2675
2019-08-13 05:00:00,61.0,25.417501,22.3675
2019-08-14 05:00:00,61.0,25.6175,20.917501
2019-08-15 05:00:00,51.0,26.9675,20.567501
2019-08-16 05:00:00,53.0,25.817501,19.567501
2019-08-17 05:00:00,51.0,27.917501,21.567501
2019-08-18 05:00:00,63.0,28.317501,23.0175
2019-08-19 05:00:00,55.0,30.917501,23.067501
2019-08-20 05:00:00,1.0,29.417501,22.4675
2019-08-21 05:00:00,61.0,30.7175,23.417501
2019-08-22 05:00:00,63.0,32.4175,23.067501
2019-08-23 05:00:00,63.0,23.817501,19.317501
2019-08-24 05:00:00,3.0,24.0175,16.7675
2019-08-25 05:00:00,3.0,24.2675,17.667501
2019-08-26 05:00:00,3.0,23.6175,15.2175
2019-08-27 05:00:00,3.0,21.8675,15.7175
2019-08-28 05:00:00,61.0,23.3675,18.167501
2019-08-29 05:00:00,2.0,28.2675,18.417501
2019-08-30 05:00:00,1.0,30.4675,16.567501
2019-08-31 05:00:00,2.0,28.417501,19.567501
2019-09-01 05:00:00,3.0,25.2675,17.317501
2019-09-02 05:00:00,63.0,25.167501,20.0175
2019-09-03 05:00:00,1.0,26.567501,18.0175
2019-09-04 05:00:00,53.0,31.317501,18.917501
2019-09-05 05:00:00,3.0,24.167501,17.167501
2019-09-06 05:00:00,61.0,20.7675,15.7175
2019-09-07 05:00:00,63.0,24.5175,13.867499
2019-09-08 05:00:00,3.0,25.5175,15.1675
2019-09-09 05:00:00,51.0,24.417501,16.7175
2019-09-10 05:00:00,51.0,24.0175,17.917501
2019-09-11 05:00:00,3.0,30.7175,19.317501
2019-09-12 05:00:00,55.0,25.9675,17.067501
2019-09-13 05:00:00,3.0,20.067501,14.367499
2019-09-14 05:00:00,3.0,23.2175,16.167501
2019-09-15 05:00:00,51.0,27.5175,19.7675
2019-09-16 05:00:00,51.0,25.167501,19.067501
2019-09-17 05:00:00,2.0,23.9675,15.1675
2019-09-18 05:00:00,51.0,20.4675,13.4175
2019-09-19 05:00:00,0.0,20.667501,10.0675
2019-09-20 05:00:00,1.0,25.7675,11.2675
2019-09-21 05:00:00,1.0,28.0175,14.3175
2019-09-22 05:00:00,1.0,28.667501,15.9675
2019-09-23 05:00:00,53.0,30.817501,21.1175
2019-09-24 05:00:00,53.0,25.2675,16.167501
2019-09-25 05:00:00,3.0,25.1175,13.1675
2019-09-26 05:00:00,61.0,26.417501,15.4675
2019-09-27 05:00:00,1.0,22.3675,11.9675
2019-09-28 05:00:00,2.0,25.667501,16.6175
2019-09-29 05:00:00,1.0,25.7175,17.417501
2019-09-30 05:00:00,51.0,20.9675,16.067501
2019-10-01 05:00:00,3.0,26.317501,16.9675
2019-10-02 05:00:00,53.0,33.8675,17.0175
2019-10-03 05:00:00,61.0,16.6175,13.117499
2019-10-04 05:00:00,51.0,18.8675,10.3175
2019-10-05 05:00:00,3.0,14.6675,7.0675
2019-10-06 05:00:00,53.0,21.1175,14.6675
2019-10-07 05:00:00,61.0,25.6175,15.867499
2019-10-08 05:00:00,51.0,18.417501,14.1675
2019-10-09 05:00:00,63.0,14.2175,11.4675
2019-10-10 05:00:00,51.0,20.7175,11.1675
2019-10-11 05:00:00,3.0,17.3675,11.6675
2019-10-12 05:00:00,3.0,19.7675,10.8175
2019-10-13 05:00:00,3.0,18.067501,10.117499
2019-10-14 05:00:00,51.0,22.2675,13.2175
2019-10-15 05:00:00,1.0,16.817501,8.9175
2019-10-16 05:00:00,65.0,19.067501,11.3175
2019-10-17 05:00:00,51.0,13.5175,9.8175
2019-10-18 05:00:00,3.0,15.1675,7.5675
2019-10-19 05:00:00,1.0,14.9675,4.9675
2019-10-20 05:00:00,61.0,15.4675,6.7675004
2019-10-21 05:00:00,61.0,18.7175,9.4675
2019-10-22 05:00:00,61.0,17.317501,10.8175
2019-10-23 05:00:00,61.0,17.917501,10.2175
